2025-01-28 10:32:09.0460 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 10:40:23.4198 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 10:52:08.1651 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 10:57:00.8096 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 11:02:21.4485 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 11:03:12.2783 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 11:13:26.5523 | INFO | BlogManagementSystem.Startup | NLog configuration loaded successfully.
2025-01-28 11:13:30.9166 | WARN | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | The ASP.NET Core developer certificate is not trusted. For information about trusting the ASP.NET Core developer certificate, see https://aka.ms/aspnet/https-trust-dev-cert.
2025-01-28 11:13:32.3183 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5002
2025-01-28 11:13:32.3183 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:5003
2025-01-28 11:13:32.3355 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down.
2025-01-28 11:13:32.3355 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development
2025-01-28 11:13:32.3355 | INFO | Microsoft.Hosting.Lifetime | Content root path: F:\Maulik Bhatt (RKIT)\RKIT Training\DotNet Core\BlogManagementSystem
2025-01-28 11:13:34.5515 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/swagger/index.html - -
2025-01-28 11:13:36.0774 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/swagger/index.html - - - 200 - text/html;charset=utf-8 1528.4436ms
2025-01-28 11:13:36.9632 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/_framework/aspnetcore-browser-refresh.js - -
2025-01-28 11:13:36.9632 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/_framework/aspnetcore-browser-refresh.js - - - 200 12010 application/javascript;+charset=utf-8 4.0111ms
2025-01-28 11:13:36.9632 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/_vs/browserLink - -
2025-01-28 11:13:37.1701 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 202.2837ms
2025-01-28 11:13:38.4326 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/swagger/v1/swagger.json - -
2025-01-28 11:13:39.8357 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5002/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 1403.0803ms
2025-01-28 11:13:45.2456 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5002/api/CLBlog/get-all-blogs - -
2025-01-28 11:13:45.2836 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'BlogManagementSystem.Controllers.CLBlogController.GetAllBlogs (BlogManagementSystem)'
2025-01-28 11:13:45.6804 | INFO | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Route matched with {action = "GetAllBlogs", controller = "CLBlog"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.IActionResult GetAllBlogs() on controller BlogManagementSystem.Controllers.CLBlogController (BlogManagementSystem).
